Book Name,Author Name,Number of stars,Price,Links,Image
The Hidden Hindu: Science-Fiction meets Indian mythology in a nail biting thriller set in 2020,Akshat Gupta,4.4 ,₹175.00,https://www.amazon.in//Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81ZI8RyyynL._AC_UL300_SR300,200_.jpg"
The Psychology of Money,Morgan Housel,4.6 ,₹180.00,https://www.amazon.in//Psychology-Money-Morgan-Housel/dp/9390166268/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/71g2ednj0JL._AC_UL300_SR300,200_.jpg"
Atomic Habits: the life-changing million-copy #1 bestseller,James Clear,4.6 ,₹479.00,https://www.amazon.in//Atomic-Habits-James-Clear/dp/1847941834/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91bYsX41DVL._AC_UL300_SR300,200_.jpg"
The Hidden Hindu (Hindi Translation of The Hidden Hindu),Akshat Gupta,4.4 ,₹150.00,https://www.amazon.in//Hidden-Hindu-Hindi-Translation/dp/9355213794/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/91pts3m3G8L._AC_UL300_SR300,200_.jpg"
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty [Paperback] Sudha Murty",Sudha Murty,4.6 ,₹167.00,https://www.amazon.in//Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/61yB0UFlM3L._AC_UL300_SR300,200_.jpg"
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 ,₹399.00,https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/711c-uf6AFL._AC_UL300_SR300,200_.jpg"
R D Sharma Mathematics Class 10 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5 ,₹559.00,https://www.amazon.in//Mathematics-Class-10-Examination-2022-23/dp/B09SJ365JL/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/A1AN37Ta+fL._AC_UL300_SR300,200_.jpg"
BlackBook of English Vocabulary March 2023 by Nikhil Gupta,Nikhil Kr Gupta,4.5 ,₹239.00,https://www.amazon.in//BlackBook-English-Vocabulary-March-Nikhil/dp/8195645712/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/81uL5oJmQxL._AC_UL300_SR300,200_.jpg"
"Ikigai: The Japanese secret to a long and happy life [Hardcover] García, Héctor and Miralles, Francesc",Francesc Miralles,4.6 ,₹310.00,https://www.amazon.in//Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/814L+vq01mL._AC_UL300_SR300,200_.jpg"
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,4.5 ,₹80.00,https://www.amazon.in//Brain-Activity-Book-Kids-Activities/dp/9391924298/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1,"https://images-eu.ssl-images-amazon.com/images/I/7175YpTSa7L._AC_UL300_SR300,200_.jpg"
